gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,AvgMonthlyCharge,NumServices,HasFamily,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup_13-24m,TenureGroup_25-48m,TenureGroup_49-72m
1,0,1,1,-0.7888002190384014,1,1,-0.4922805219681379,-0.7481879571842649,0,-0.561162872446036,-0.49566128659004244,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1,0,0,0,-0.6666391278783103,1,0,-1.5225946620711341,-0.8631834699626606,0,-1.306344597908293,-1.360505196277561,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0
1,0,1,0,1.0436161483629645,1,0,1.182810854199314,1.4990665744239264,0,1.2194034023218006,0.8016045779412352,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1
1,0,0,0,0.6771328748826912,1,1,1.2941512532104444,1.2145888969272467,1,1.3647931000554632,1.2340265327849944,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1,0,0,0,-0.30015585439803716,1,1,1.3539759452164248,0.17768805707524452,0,1.4494677412175863,1.2340265327849944,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0
0,0,1,1,1.4915401492832983,1,0,1.611554480242174,2.475877681529266,0,1.7601048137888358,2.098870442472513,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1
0,0,0,0,0.7992939660427822,1,0,-1.4660935640654862,-0.5560508161330802,0,-1.3038074550370056,-1.360505196277561,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
1,0,0,1,1.5729808767233588,1,0,1.393859073220412,2.2495926306793175,0,1.4239578259152597,1.2340265327849944,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,1,-0.9109613101984924,1,0,-0.31779183695069496,-0.7742621363716933,1,-0.3621903214534702,-0.06323933174628321,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,-0.46303730927815856,1,1,0.8404806721650927,-0.18547540482207522,0,0.8388168920568211,0.369182623097476,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1,1,0,0,-1.2774445836787656,0,1,-0.8346107040023594,-0.9898704505662144,1,-1.286632179979656,-0.49566128659004244,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,1,0,-0.8295205827584317,1,0,-1.4943441130683104,-0.9181333687409041,0,-1.4264876513962386,-1.360505196277561,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
1,0,0,0,-1.2774445836787656,1,0,-1.4827115340671475,-0.9984736061356704,1,-1.6061757762311537,-1.360505196277561,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
0,0,1,0,1.0436161483629645,1,1,-0.1615829189350795,0.5390426503656528,0,0.010664827018438374,0.369182623097476,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
1,0,1,1,0.6771328748826912,1,0,-0.17155370093607614,0.30309559403000746,0,0.010583725992706048,0.369182623097476,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,-0.0965540357978854,1,1,-0.31446824295036285,-0.33208199947490813,0,-0.31819571097625465,-0.06323933174628321,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,1,0.5956921474426305,1,1,1.1495749141959914,1.0879019163236927,1,1.3062797515264868,0.8016045779412352,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
1,0,1,1,-1.2774445836787656,0,0,-1.1486903370337564,-0.9940396721114124,1,-1.4414879227784587,-0.9280832414338016,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,0,1.6137012404433893,1,1,0.8471278601657574,1.802757966025724,0,0.9232244804474997,2.098870442472513,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1
0,0,0,1,-0.62591876415828,1,1,-0.0020504069191315333,-0.5251015154562935,1,0.053903277229262046,-0.06323933174628321,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
0,1,1,0,1.5729808767233588,1,1,1.0498670941860242,1.9781299834030972,0,1.1438792293717461,1.2340265327849944,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
1,1,1,0,-1.2367242199587352,1,1,1.0216165451832002,-0.9272218305219705,0,0.048076841286215054,0.369182623097476,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
0,0,1,1,-0.21871512695797646,1,0,0.046141706085686136,-0.18037968960016668,0,0.257652961831382,0.8016045779412352,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0
1,0,0,0,-1.2774445836787656,1,0,-1.481049737066981,-0.9984515467624155,0,-1.6053564336766626,-1.360505196277561,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1,1,0,0,-1.2774445836787656,1,0,-0.6484894399837535,-0.9873998007616527,0,-1.194865813876662,-0.9280832414338016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1.6137012404433893,1,0,1.1678546811978192,2.191995607110472,0,1.3193148742555554,1.2340265327849944,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
1,0,0,0,-1.1145631287986442,1,1,0.16412929309748078,-0.8675512258671536,1,-0.20537312223634063,-0.9280832414338016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0.5549717837226001,1,1,0.33363258711442517,0.5581019488579864,0,0.5379042263093781,-0.49566128659004244,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0.06632741908223598,1,1,1.3822264942192488,0.5585210769498316,1,1.3871166731972528,1.2340265327849944,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
0,0,0,0,-0.8702409464784621,1,1,1.099721004191008,-0.5196749096355596,1,1.0826333734235427,0.8016045779412352,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,0,1,1,-0.9109613101984924,1,0,-0.5055748979694671,-0.7974906564092245,0,-0.5190571777951146,-0.49566128659004244,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,1,1,1.5322605130033284,1,1,0.14751132309581955,1.1422562120240511,0,0.3127129463508356,0.8016045779412352,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
0,0,1,1,-0.62591876415828,1,0,-1.462769970065154,-0.8228368762792373,0,-1.1748374403224369,-1.360505196277561,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0
0,0,0,0,1.247217966963116,1,1,0.5014740841312035,1.1374472686544574,0,0.553124712765445,1.6664484876287537,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1
0,0,1,0,-0.7888002190384014,1,1,0.3801629031190768,-0.574360095934743,0,0.36118274603814027,1.2340265327849944,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0.6771328748826912,1,1,0.6560212051466532,0.7162235363499371,0,0.6243696204130185,-0.06323933174628321,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1,0,0,0,-1.2367242199587352,1,0,-0.5155456799704636,-0.9645683494427116,0,-0.8766877885493158,-0.49566128659004244,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,-1.2367242199587352,1,1,0.5280628361338618,-0.943766360463232,1,-0.36159443595929475,-0.49566128659004244,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0.7992939660427822,1,1,0.4981504901308714,0.8534769567426435,0,0.6717974960691334,1.2340265327849944,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1
0,0,1,1,1.4915401492832983,1,1,-0.020330173920958795,0.8694920617257849,0,0.055380694914820755,0.8016045779412352,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
0,1,0,0,0.43281069256250915,1,1,0.8471278601657574,0.6862448480963711,0,0.9229484752656942,0.369182623097476,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0,0,0,0,-0.7073594915983407,1,1,1.141265929195161,-0.3780537333383603,1,0.9854047236239416,0.8016045779412352,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
0,1,1,0,-0.30015585439803716,1,1,0.1574821050968162,-0.23411632284938433,0,0.27289183296848185,0.8016045779412352,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
0,1,1,0,-0.9924020376385531,1,1,0.5280628361338618,-0.7279595119094158,1,0.3698053510163551,-0.06323933174628321,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,1,1.125056875803025,1,1,0.33529438411459117,0.9587222265423224,0,0.45790930067359187,1.2340265327849944,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1
1,1,0,0,-0.5851984004382496,1,1,1.0199547481830342,-0.23416044159589444,1,1.0866582140420946,0.369182623097476,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
0,0,1,1,1.247217966963116,1,1,1.1595456961969886,1.777058796183631,0,1.2955258804987921,0.8016045779412352,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
1,1,1,1,1.369379058123207,1,1,1.4520219682262263,2.114633385105133,0,1.5250946581731604,1.6664484876287537,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1
0,0,1,1,0.06632741908223598,1,0,-1.3231790220511994,-0.612809583518235,0,-1.0989559154266701,-0.9280832414338016,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0
0,0,0,0,1.6137012404433893,1,1,1.42044782522307,2.4575904611008585,0,1.5895856785314975,1.2340265327849944,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1
0,0,1,0,0.5956921474426305,1,1,1.1877962451998125,1.069349983416225,0,1.2775686228461978,0.8016045779412352,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
1,0,0,0,1.125056875803025,1,1,0.8354952811645946,1.3974169824648148,0,0.9921475098920476,0.369182623097476,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,1,0,1.6137012404433893,0,0,-0.7531826509942192,0.2994337380696748,0,-0.6065666358815004,-0.06323933174628321,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,1,-0.5851984004382496,1,1,-0.34438058895335305,-0.5851030107099355,0,-0.2854387016839718,-0.06323933174628321,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0,0,-0.9516816739185228,1,0,0.9850570111795457,-0.6291555791002015,1,0.8731547936586715,0.369182623097476,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
0,0,0,0,-1.1960038562387048,1,1,0.3502505571160864,-0.8996696733264562,0,0.06364434982154424,0.8016045779412352,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
1,0,1,0,0.5956921474426305,1,1,0.46989994112804756,0.6031251296714728,0,0.5560350857975432,-0.06323933174628321,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,0,0,0,-0.055833672077855064,1,0,0.47987072312904416,0.09436980429105092,0,0.621206958152683,1.2340265327849944,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
0,0,1,1,0.7178532386027215,1,0,-1.4827115340671475,-0.5966621222955636,0,-1.3381543676708856,-1.360505196277561,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
1,0,0,0,-0.9109613101984924,1,1,0.5014740841312035,-0.6158758364006822,0,0.7074241405911701,-0.06323933174628321,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,-1.2774445836787656,1,0,-0.5221928679711283,-0.9857232883942715,0,-1.1325957797353445,-0.49566128659004244,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,1,0.7992939660427822,1,1,-1.4744025490663168,-0.5261824247457891,0,-1.2619436882905586,-1.360505196277561,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
1,1,1,1,1.2879383306831464,1,1,1.5567151792366918,2.124626281189655,0,1.643021663128503,1.6664484876287537,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,1,1,1.2064976032430856,1,1,-1.3464441800535252,-0.37884787077554094,0,-1.1952689824352212,-0.9280832414338016,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
0,0,0,1,-1.1960038562387048,1,1,-0.00869759491979612,-0.9290968772486468,0,-0.4828571340239658,0.369182623097476,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,0.9621754209229036,1,0,1.5201556452330371,1.701306908425908,0,1.5937018853950111,1.6664484876287537,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
0,0,0,0,0.5549717837226001,1,0,-0.3028356639492,0.17892338197752528,0,-0.061401270250032135,-0.49566128659004244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
0,0,1,1,-0.9924020376385531,1,0,-0.33607160395252245,-0.7946008785128175,0,-0.18024661723194915,-0.06323933174628321,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,-0.0965540357978854,1,1,0.3319707901142591,-0.07588443849115832,0,0.29572973598237157,0.8016045779412352,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
0,0,1,1,0.5142514200025698,1,1,-1.2916048790480432,-0.4706148635164053,0,-1.069577650218187,-0.9280832414338016,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,0,1,-1.2774445836787656,1,1,0.48485611412954227,-0.9723553082017322,1,-0.6360741917137865,-0.49566128659004244,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,1,1,-0.8702409464784621,0,0,-0.47233895796614456,-0.7579382001629819,0,-0.392319781752708,-0.06323933174628321,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
0,0,1,0,-1.0331224013585834,1,1,0.34526516611558833,-0.788137482149098,1,0.09928575094190355,-0.49566128659004244,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.3920903288424788,1,1,1.2974748472107767,0.9018752216641474,0,1.3619593180856047,1.2340265327849944,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
0,0,1,0,0.6771328748826912,1,1,-1.4827115340671475,-0.5779337144020555,0,-1.2983651653599675,-1.360505196277561,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
1,0,0,0,-0.9516816739185228,1,1,1.1479131171958254,-0.6020225499965324,0,1.0747130620634626,0.8016045779412352,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
0,0,1,0,0.10704778280226633,1,1,-0.08680205392760396,-0.029934764000961255,0,0.08053191025022019,-0.06323933174628321,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0,0,1,1,0.6364125111626608,1,0,-1.4660935640654862,-0.5410283829464146,0,-1.2293952501016405,-1.360505196277561,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
0,0,1,1,0.5549717837226001,1,1,-1.4893587220678117,-0.5983386346629449,0,-1.2898921173773117,-1.360505196277561,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0
1,0,1,0,-0.13727439951791576,0,0,-1.0307027500219619,-0.5620950844049544,0,-0.8338088615309526,-0.9280832414338016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1,0,1,1,-0.0965540357978854,1,0,0.574593152138513,0.1265764892433735,0,0.7808862498609893,-0.06323933174628321,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,0,-1.2774445836787656,1,0,0.3303089931140931,-0.9744068299144487,0,-0.7122730492814513,-0.49566128659004244,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,1,1.369379058123207,1,1,0.6394032351449919,1.5136919388920014,0,0.8588101844584034,1.6664484876287537,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,0,0,0,1.3286586944031769,1,1,1.5384354122348645,2.128155780910457,0,1.5927610135621029,1.6664484876287537,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
1,0,0,0,1.6137012404433893,1,1,1.2010906212011416,2.2834758279990215,0,1.4124056570904666,1.2340265327849944,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
0,0,0,0,-0.8295205827584317,1,1,0.47156173812821356,-0.5982283377966698,1,0.4015286140235719,-0.06323933174628321,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,1,1.5729808767233588,1,1,0.06940686408801149,1.0877033819643975,0,0.2251913901486903,0.8016045779412352,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1,0,0,0,-1.1145631287986442,1,0,-1.4527991880641573,-0.9571343406557715,1,-1.3144898268323508,-1.360505196277561,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
1,0,0,0,0.7992939660427822,1,0,-1.4544609850643233,-0.518880772198379,0,-1.2517096360061615,-1.360505196277561,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
0,1,1,0,-0.30015585439803716,1,1,1.1213243651931677,0.10200234743728637,1,1.2332243331823023,0.8016045779412352,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
1,0,0,0,-1.2774445836787656,1,0,-1.481049737066981,-0.9984515467624155,0,-1.6053564336766626,-1.360505196277561,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
0,0,1,1,-1.2774445836787656,1,0,-1.505976692069473,-0.9987824373612407,0,-1.617646571994028,-1.360505196277561,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
1,0,0,0,0.22920887396235737,1,0,1.0049985751815391,0.5833819906082339,0,1.0935999583836529,0.8016045779412352,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
0,1,1,0,1.369379058123207,0,0,-0.6385186579827569,0.32822122016747,0,-0.45556202086539943,-0.06323933174628321,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,0,1,0,1.4508197855632678,1,1,1.503537675231376,2.3508892726663486,1,1.679114753093005,1.6664484876287537,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,0,0,-1.1145631287986442,0,0,-1.3447823830533592,-0.9631565495543908,0,-1.3890499992910335,-1.360505196277561,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,1,1.6137012404433893,1,1,1.3091074262119398,2.214650583443373,0,1.3423687044873989,1.2340265327849944,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
0,0,0,0,-0.015113308357824713,0,0,-1.150352134033923,-0.5980959815571396,0,-1.0150821945715263,-0.9280832414338016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,0,0,0,0.43281069256250915,1,0,0.9833952141793793,0.7226648733404017,0,0.9844364096959066,0.369182623097476,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0
1,0,1,1,1.6137012404433893,1,0,-1.5076384890696393,-0.4059147217594449,0,-1.3243331613568523,-1.360505196277561,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1
1,0,1,0,0.9214550572028734,1,1,1.0631614701873533,1.3039734773565692,1,1.1296675376825387,0.8016045779412352,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0.7992939660427822,1,0,-0.22639300194155818,0.33483903214397465,0,-0.05512940199269158,0.369182623097476,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
0,0,0,0,0.43281069256250915,1,1,0.893658176170409,0.7371358221956917,0,1.008867714957093,0.369182623097476,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0,1,1,0,0.18848851024232702,1,1,0.39013368512007346,0.25802829447001085,1,0.5373105929020369,-0.49566128659004244,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,1,1,1.2879383306831464,0,1,-0.33773340095268845,0.5030417532134677,0,-0.21020514242949256,0.369182623097476,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,0,1,1,-1.1960038562387048,1,0,0.8338334841644282,-0.8977725672265248,0,0.09887607966465818,0.369182623097476,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0.14776814652229667,0,0,-1.1204397880309327,-0.5104320322417082,0,-0.9386773270413483,-0.9280832414338016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,1,1,-0.9109613101984924,1,1,1.1794872601989819,-0.5376532988383972,1,1.2356766311775622,0.8016045779412352,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
0,0,0,0,0.35136996512244845,1,0,-1.4660935640654862,-0.6389058220789182,0,-1.284681364373725,-1.360505196277561,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0
